Заметка1, куммукм, укмауау
Заметка2, меупумум, мкуцсусум
Заметка3, мумуму, мукмукук
Заметка4, сьсщуцьтсцусммуцгутцкмугшцтмукгц, туамру
Заметка5, мткумшткмшктм, мумтумтушкм
Заметка6, умукмукм, мукмуму
Заметка7, мкмук, мкумукм
Заметка8, 777, 777
Заметка9, 99999, 9999
Заметка10, шгнунцн, 099778
Заметка11, смуктмшгцуктм, муркмирукгм
Заметка12, лсвтсшцтцшу,  вотсовсошвтц
Заметка13 отрт, рири
Заметка14, tttftg, rtgt
Заметка15, 555, 555
Заметка16, 123, шмтекгмшткм
Заметка17, еаепе5, пе5п5
Заметка18, 85ара, савлстарс
Заметка19, Плавание, Тег
Заметка20, штакумшт3кшмтшм, ташатмушмтук
Заметка21, Замена водяных фильтров, дом
